Symbol,Name,Stock Exchange,RBICS Economy,SIC Code
IBKR,"Interactive Brokers Group, Inc. Class A",NASDAQ,Finance,6211
IBM,International Business Machines Corporation,NYSE,Technology,7373
IBOC,International Bancshares Corporation,NASDAQ,Finance,6022
IBP,"Installed Building Products, Inc.",NYSE,Industrials,5039
IBTX,"Independent Bank Group, Inc.",NASDAQ,Finance,6021
ICE,"Intercontinental Exchange, Inc.",NYSE,Finance,6231
ICHR,"Ichor Holdings, Ltd.",NASDAQ,Technology,3674
ICUI,"ICU Medical, Inc.",NASDAQ,Healthcare,3841
IDA,"IDACORP, Inc.",NYSE,Utilities,4911
IDCC,"InterDigital, Inc.",NASDAQ,Technology,6794
IDXX,"IDEXX Laboratories, Inc.",NASDAQ,Healthcare,2835
IEX,IDEX Corporation,NYSE,Industrials,3561
IFF,International Flavors & Fragrances Inc.,NYSE,Non-Energy Materials,2844
IIIN,"Insteel Industries, Inc.",NASDAQ,Non-Energy Materials,3496
IIPR,Innovative Industrial Properties Inc,NYSE,Finance,6798
IIVI,II-VI Incorporated,NASDAQ,Technology,3699
ILMN,"Illumina, Inc.",NASDAQ,Healthcare,3826
ILPT,Industrial Logistics Properties Trust,NASDAQ,Finance,6798
INCY,Incyte Corporation,NASDAQ,Healthcare,2834
INDB,Independent Bank Corp.,NASDAQ,Finance,6022
INFO,IHS Markit Ltd.,NYSE,Technology,7374
INGN,"Inogen, Inc.",NASDAQ,Healthcare,3842
INGR,Ingredion Incorporated,NYSE,Non-Energy Materials,2046
INN,"Summit Hotel Properties, Inc.",NYSE,Finance,6798
INT,World Fuel Services Corporation,NYSE,Industrials,5172
INTC,Intel Corporation,NASDAQ,Technology,3674
INTU,Intuit Inc.,NASDAQ,Technology,7372
INVA,"Innoviva, Inc.",NASDAQ,Healthcare,2834
IOSP,Innospec Inc.,NASDAQ,Non-Energy Materials,2869
IP,International Paper Company,NYSE,Non-Energy Materials,2621
IPAR,"Inter Parfums, Inc.",NASDAQ,Consumer Non-Cyclicals,2844
IPG,"Interpublic Group of Companies, Inc.",NYSE,Business Services,7311
IPGP,IPG Photonics Corporation,NASDAQ,Industrials,3674
IQV,IQVIA Holdings Inc,NYSE,Healthcare,8731
IR,Ingersoll Rand Inc.,NYSE,Industrials,3563
IRBT,iRobot Corporation,NASDAQ,Consumer Non-Cyclicals,3639
IRDM,Iridium Communications Inc.,NASDAQ,Telecommunications,4813
IRET,Investors Real Estate Trust,NYSE,Finance,6798
IRM,"Iron Mountain, Inc.",NYSE,Finance,7374
IRT,"Independence Realty Trust, Inc.",NYSE,Finance,6798
ISRG,"Intuitive Surgical, Inc.",NASDAQ,Healthcare,3842
IT,"Gartner, Inc.",NYSE,Technology,8742
ITGR,Integer Holdings Corporation,NYSE,Healthcare,3841
ITRI,"Itron, Inc.",NASDAQ,Industrials,3825
ITT,"ITT, Inc.",NYSE,Industrials,3714
ITW,Illinois Tool Works Inc.,NYSE,Industrials,3599
IVC,Invacare Corporation,NYSE,Healthcare,3842
IVR,Invesco Mortgage Capital Inc.,NYSE,Finance,6798
IVZ,Invesco Ltd.,NYSE,Finance,6282
J,Jacobs Engineering Group Inc.,NYSE,Industrials,1611
JACK,Jack in the Box Inc.,NASDAQ,Consumer Services,5812
JAZZ,Jazz Pharmaceuticals Plc,NASDAQ,Healthcare,2834
JBGS,JBG SMITH Properties,NYSE,Finance,6512
JBHT,"J.B. Hunt Transport Services, Inc.",NASDAQ,Industrials,4213
JBL,Jabil Inc.,NYSE,Technology,3672
JBLU,JetBlue Airways Corporation,NASDAQ,Industrials,4512
JBSS,"John B. Sanfilippo & Son, Inc.",NASDAQ,Consumer Non-Cyclicals,2068
JBT,John Bean Technologies Corporation,NYSE,Industrials,3556
JCI,Johnson Controls International plc,NYSE,Industrials,7382
JCOM,"J2 Global, Inc.",NASDAQ,Technology,4822
JEF,Jefferies Financial Group Inc.,NYSE,Finance,6211
JHG,Janus Henderson Group PLC,NYSE,Finance,6282
JJSF,J & J Snack Foods Corp.,NASDAQ,Consumer Non-Cyclicals,2051
JKHY,"Jack Henry & Associates, Inc.",NASDAQ,Finance,7373
JLL,Jones Lang LaSalle Incorporated,NYSE,Finance,6531
JNJ,Johnson & Johnson,NYSE,Healthcare,2834
JNPR,"Juniper Networks, Inc.",NYSE,Technology,7373
JOE,St. Joe Company,NYSE,Finance,7011
JPM,JPMorgan Chase & Co.,NYSE,Finance,6021
JRVR,James River Group Holdings Ltd,NASDAQ,Finance,6331
JW.A,"John Wiley & Sons, Inc. Class A",NYSE,Consumer Services,2731
JWN,"Nordstrom, Inc.",NYSE,Consumer Non-Cyclicals,5651
K,Kellogg Company,NYSE,Consumer Non-Cyclicals,2043
KALU,Kaiser Aluminum Corporation,NASDAQ,Non-Energy Materials,3354
KAMN,Kaman Corporation Class A,NYSE,Industrials,3721
KAR,"KAR Auction Services, Inc.",NYSE,Consumer Cyclicals,5012
KBH,KB Home,NYSE,Consumer Cyclicals,1521
KBR,"KBR, Inc.",NYSE,Industrials,8711
KELYA,"Kelly Services, Inc. Class A",NASDAQ,Business Services,7361
KEX,Kirby Corporation,NYSE,Industrials,4449
KEY,KeyCorp,NYSE,Finance,6021
KEYS,Keysight Technologies Inc,NYSE,Technology,3825
KFY,Korn Ferry,NYSE,Business Services,7361
KHC,Kraft Heinz Company,NASDAQ,Consumer Non-Cyclicals,2099
KIM,Kimco Realty Corporation,NYSE,Finance,6798
KLAC,KLA Corporation,NASDAQ,Technology,3827
KLIC,"Kulicke & Soffa Industries, Inc.",NASDAQ,Technology,3674
KMB,Kimberly-Clark Corporation,NYSE,Consumer Non-Cyclicals,2676
KMI,Kinder Morgan Inc Class P,NYSE,Energy,4922
KMPR,Kemper Corporation,NYSE,Finance,6331
KMT,Kennametal Inc.,NYSE,Industrials,3545
KMX,"CarMax, Inc.",NYSE,Consumer Cyclicals,5521
KN,Knowles Corp.,NYSE,Technology,3651
KNSL,"Kinsale Capital Group, Inc.",NASDAQ,Finance,6331
KNX,Knight-Swift Transportation Holdings Inc. Class A,NYSE,Industrials,4213
KO,Coca-Cola Company,NYSE,Consumer Non-Cyclicals,2086
KOP,Koppers Holdings Inc.,NYSE,Non-Energy Materials,2491
KR,Kroger Co.,NYSE,Consumer Non-Cyclicals,5411
KRA,Kraton Corporation,NYSE,Non-Energy Materials,2821
KRC,Kilroy Realty Corporation,NYSE,Finance,6798
KREF,KKR Real Estate Finance Trust Inc.,NYSE,Finance,6189
KRG,Kite Realty Group Trust,NYSE,Finance,6798
KSS,Kohl's Corporation,NYSE,Consumer Non-Cyclicals,5621
KSU,Kansas City Southern,NYSE,Industrials,4011
KTB,"Kontoor Brands, Inc.",NYSE,Consumer Cyclicals,2389
KWR,Quaker Chemical Corporation,NYSE,Non-Energy Materials,2992
L,Loews Corporation,NYSE,Finance,6331
LAD,"Lithia Motors, Inc. Class A",NYSE,Consumer Cyclicals,5511
LAMR,Lamar Advertising Company Class A,NASDAQ,Finance,7312
LANC,Lancaster Colony Corporation,NASDAQ,Consumer Non-Cyclicals,2035
LB,"L Brands, Inc.",NYSE,Consumer Cyclicals,5621
LCI,"Lannett Company, Inc.",NYSE,Healthcare,2834
LCII,LCI Industries,NYSE,Consumer Cyclicals,3714
LDL,"Lydall, Inc.",NYSE,Industrials,3564
LDOS,"Leidos Holdings, Inc.",NYSE,Industrials,7373
LEA,Lear Corporation,NYSE,Consumer Cyclicals,2396
LECO,"Lincoln Electric Holdings, Inc.",NASDAQ,Industrials,3548
LEG,"Leggett & Platt, Incorporated",NYSE,Non-Energy Materials,2515
LEN,Lennar Corporation Class A,NYSE,Consumer Cyclicals,1531
LFUS,"Littelfuse, Inc.",NASDAQ,Technology,3613
LGIH,"LGI Homes, Inc.",NASDAQ,Consumer Cyclicals,1531
LGND,Ligand Pharmaceuticals Incorporated,NASDAQ,Healthcare,2834
LH,Laboratory Corporation of America Holdings,NYSE,Healthcare,8071
LHCG,"LHC Group, Inc.",NASDAQ,Healthcare,8082
LHX,L3Harris Technologies Inc,NYSE,Industrials,3812
LII,Lennox International Inc.,NYSE,Industrials,3585
LIN,Linde plc,NYSE,Non-Energy Materials,2813
LITE,"Lumentum Holdings, Inc.",NASDAQ,Technology,3357
LIVN,LivaNova Plc,NASDAQ,Healthcare,3845
LKQ,LKQ Corporation,NASDAQ,Consumer Cyclicals,5015
LL,"Lumber Liquidators Holdings, Inc.",NYSE,Consumer Cyclicals,5713
LLY,Eli Lilly and Company,NYSE,Healthcare,2834
LMAT,"LeMaitre Vascular, Inc.",NASDAQ,Healthcare,3841
LMNX,Luminex Corp,NASDAQ,Healthcare,8731
LMT,Lockheed Martin Corporation,NYSE,Industrials,3721
LNC,Lincoln National Corporation,NYSE,Finance,6311
LNN,Lindsay Corporation,NYSE,Industrials,3523
LNT,Alliant Energy Corp,NASDAQ,Utilities,4931
LNTH,Lantheus Holdings Inc,NASDAQ,Healthcare,2834
LOCO,El Pollo Loco Holdings Inc,NASDAQ,Consumer Services,5812
LOPE,"Grand Canyon Education, Inc.",NASDAQ,Consumer Non-Cyclicals,8299
LOW,"Lowe's Companies, Inc.",NYSE,Consumer Cyclicals,5211
LPG,Dorian LPG Ltd.,NYSE,Energy,4412
LPI,"Laredo Petroleum, Inc.",NYSE,Energy,1311
LPSN,"LivePerson, Inc.",NASDAQ,Technology,7372
LPX,Louisiana-Pacific Corporation,NYSE,Non-Energy Materials,2439
LQDT,"Liquidity Services, Inc.",NASDAQ,Consumer Cyclicals,6153
LRCX,Lam Research Corporation,NASDAQ,Technology,3559
LSI,"Life Storage, Inc.",NYSE,Finance,6798
LSTR,"Landstar System, Inc.",NASDAQ,Industrials,4213
LTC,"LTC Properties, Inc.",NYSE,Finance,6798
LTHM,Livent Corporation,NYSE,Non-Energy Materials,2819
LUMN,"Lumen Technologies, Inc.",NYSE,Telecommunications,4813
LUV,Southwest Airlines Co.,NYSE,Industrials,4512
LVS,Las Vegas Sands Corp.,NYSE,Consumer Services,7011
LW,"Lamb Weston Holdings, Inc.",NYSE,Consumer Non-Cyclicals,2037
LXP,Lexington Realty Trust,NYSE,Finance,6798
LYB,LyondellBasell Industries NV,NYSE,Non-Energy Materials,2869
LYV,"Live Nation Entertainment, Inc.",NYSE,Consumer Services,7999
LZB,LaZBoy Incorporated,NYSE,Consumer Cyclicals,2512
M,Macy's Inc,NYSE,Consumer Non-Cyclicals,5999
MA,Mastercard Incorporated Class A,NYSE,Finance,7389
MAA,"Mid-America Apartment Communities, Inc.",NYSE,Finance,6798
MAC,Macerich Company,NYSE,Finance,6798
MAN,ManpowerGroup Inc.,NYSE,Business Services,7361
MANH,"Manhattan Associates, Inc.",NASDAQ,Technology,7372
MANT,ManTech International Corporation Class A,NASDAQ,Industrials,7372
MAR,"Marriott International, Inc. Class A",NASDAQ,Consumer Services,7011
MAS,Masco Corporation,NYSE,Consumer Non-Cyclicals,3432
MASI,Masimo Corporation,NASDAQ,Healthcare,3845
MAT,"Mattel, Inc.",NASDAQ,Consumer Cyclicals,3942
MATW,Matthews International Corporation Class A,NASDAQ,Business Services,7311
MATX,"Matson, Inc.",NYSE,Industrials,4412
MCD,McDonald's Corporation,NYSE,Consumer Services,5812
MCHP,Microchip Technology Incorporated,NASDAQ,Technology,3674
MCK,McKesson Corporation,NYSE,Healthcare,2834
MCO,Moody's Corporation,NYSE,Business Services,7323
MCRI,"Monarch Casino & Resort, Inc.",NASDAQ,Consumer Services,7011
MCS,Marcus Corporation,NYSE,Consumer Services,7832
MCY,Mercury General Corporation,NYSE,Finance,6331
MD,"MEDNAX, Inc.",NYSE,Healthcare,8062
MDC,"M.D.C. Holdings, Inc.",NYSE,Consumer Cyclicals,1521
MDLZ,"Mondelez International, Inc. Class A",NASDAQ,Consumer Non-Cyclicals,2052
MDP,Meredith Corporation,NYSE,Consumer Services,2721
MDRX,"Allscripts Healthcare Solutions, Inc.",NASDAQ,Healthcare,7373
MDT,Medtronic Plc,NYSE,Healthcare,3845
MDU,MDU Resources Group Inc,NYSE,Industrials,4924
MED,"Medifast, Inc.",NYSE,Consumer Non-Cyclicals,2834
MEDP,"Medpace Holdings, Inc.",NASDAQ,Healthcare,8731
MEI,"Methode Electronics, Inc.",NYSE,Consumer Cyclicals,3679
MERC,Mercer International Inc.,NASDAQ,Non-Energy Materials,2611
MET,"MetLife, Inc.",NYSE,Finance,6311
MGLN,"Magellan Health, Inc.",NASDAQ,Healthcare,8011
MGM,MGM Resorts International,NYSE,Consumer Services,7011
MGPI,"MGP Ingredients, Inc.",NASDAQ,Consumer Non-Cyclicals,2085
MHK,"Mohawk Industries, Inc.",NYSE,Non-Energy Materials,2273
MHO,"M/I Homes, Inc.",NYSE,Consumer Cyclicals,1521
MIDD,Middleby Corporation,NASDAQ,Industrials,3556
MIK,Michaels Companies Inc,NASDAQ,Consumer Cyclicals,5945
MKC,"McCormick & Company, Incorporated",NYSE,Consumer Non-Cyclicals,2099
MKSI,"MKS Instruments, Inc.",NASDAQ,Technology,3823
MKTX,MarketAxess Holdings Inc.,NASDAQ,Finance,6231
MLAB,"Mesa Laboratories, Inc.",NASDAQ,Industrials,3823
MLHR,"Herman Miller, Inc.",NASDAQ,Consumer Non-Cyclicals,5021
MLI,"Mueller Industries, Inc.",NYSE,Non-Energy Materials,3498
MLM,"Martin Marietta Materials, Inc.",NYSE,Non-Energy Materials,1422
MMC,"Marsh & McLennan Companies, Inc.",NYSE,Business Services,6411
MMI,"Marcus & Millichap, Inc.",NYSE,Finance,6531
MMM,3M Company,NYSE,Non-Energy Materials,3291
MMS,"MAXIMUS, Inc.",NYSE,Healthcare,9431
MMSI,"Merit Medical Systems, Inc.",NASDAQ,Healthcare,3841
MNRO,Monro Inc,NASDAQ,Consumer Cyclicals,7538
MNST,Monster Beverage Corporation,NASDAQ,Consumer Non-Cyclicals,2086
MO,Altria Group Inc,NYSE,Consumer Non-Cyclicals,2111
MOG.A,Moog Inc. Class A,NYSE,Industrials,3812
MOH,"Molina Healthcare, Inc.",NYSE,Healthcare,6321
MOS,Mosaic Company,NYSE,Non-Energy Materials,2874
MOV,"Movado Group, Inc.",NYSE,Consumer Cyclicals,3873
MPAA,"Motorcar Parts of America, Inc.",NASDAQ,Consumer Cyclicals,5013
MPC,Marathon Petroleum Corporation,NYSE,Energy,2911
MPW,"Medical Properties Trust, Inc.",NYSE,Finance,6798
MPWR,"Monolithic Power Systems, Inc.",NASDAQ,Technology,3674
MRCY,"Mercury Systems, Inc.",NASDAQ,Industrials,7373
MRK,"Merck & Co., Inc.",NYSE,Healthcare,2834
MRO,Marathon Oil Corporation,NYSE,Energy,1311
MRTN,"Marten Transport, Ltd.",NASDAQ,Industrials,4213
MS,Morgan Stanley,NYSE,Finance,6211
MSA,"MSA Safety, Inc.",NYSE,Industrials,3842
MSCI,MSCI Inc. Class A,NYSE,Technology,7374
MSFT,Microsoft Corporation,NASDAQ,Technology,7372
MSI,"Motorola Solutions, Inc.",NYSE,Technology,3663
MSM,"MSC Industrial Direct Co., Inc. Class A",NYSE,Industrials,5084
MSTR,MicroStrategy Incorporated Class A,NASDAQ,Technology,7372
MTB,M&T Bank Corporation,NYSE,Finance,6022
MTD,Mettler-Toledo International Inc.,NYSE,Healthcare,3826
MTDR,Matador Resources Company,NYSE,Energy,1311
MTG,MGIC Investment Corporation,NYSE,Finance,6351
MTH,Meritage Homes Corporation,NYSE,Consumer Cyclicals,1531
MTOR,"Meritor, Inc.",NYSE,Industrials,3714
MTRN,Materion Corporation,NYSE,Non-Energy Materials,3339
MTRX,Matrix Service Company,NASDAQ,Industrials,8711
MTSC,MTS Systems Corporation,NASDAQ,Industrials,3829
MTX,Minerals Technologies Inc.,NYSE,Non-Energy Materials,2819
MTZ,"MasTec, Inc.",NYSE,Industrials,1389
MU,"Micron Technology, Inc.",NASDAQ,Technology,3674
MUR,Murphy Oil Corporation,NYSE,Energy,1311
MUSA,"Murphy USA, Inc.",NYSE,Consumer Cyclicals,5541
MXIM,"Maxim Integrated Products, Inc.",NASDAQ,Technology,3674
MXL,MaxLinear inc,NYSE,Technology,3674
MYE,"Myers Industries, Inc.",NYSE,Non-Energy Materials,3089
MYGN,"Myriad Genetics, Inc.",NASDAQ,Healthcare,2835
MYRG,MYR Group Inc.,NASDAQ,Industrials,1623
NATI,National Instruments Corporation,NASDAQ,Technology,7372
NAVI,Navient Corp,NASDAQ,Finance,6211
NBHC,National Bank Holdings Corporation Class A,NYSE,Finance,6021
NBR,Nabors Industries Ltd.,NYSE,Energy,1381
NBTB,NBT Bancorp Inc.,NASDAQ,Finance,6021
NCLH,Norwegian Cruise Line Holdings Ltd.,NYSE,Consumer Services,4481
NCR,NCR Corporation,NYSE,Technology,7372
NDAQ,"Nasdaq, Inc.",NASDAQ,Finance,6231
NDSN,Nordson Corporation,NASDAQ,Industrials,3569
NEE,"NextEra Energy, Inc.",NYSE,Utilities,4911
NEM,Newmont Corporation,NYSE,Non-Energy Materials,1041
NEO,"NeoGenomics, Inc.",NASDAQ,Healthcare,8071
NEOG,Neogen Corporation,NASDAQ,Healthcare,2835
NEU,NewMarket Corporation,NYSE,Non-Energy Materials,2819
NFBK,"Northfield Bancorp, Inc.",NASDAQ,Finance,6035
NFG,National Fuel Gas Company,NYSE,Utilities,4924
NFLX,"Netflix, Inc.",NASDAQ,Technology,4841
NGVT,Ingevity Corporation,NYSE,Non-Energy Materials,2899
NI,NiSource Inc,NYSE,Utilities,4924
NJR,New Jersey Resources Corporation,NYSE,Utilities,4924
NKE,"NIKE, Inc. Class B",NYSE,Consumer Cyclicals,3021
NKTR,Nektar Therapeutics,NASDAQ,Healthcare,2834
NLOK,NortonLifeLock Inc.,NASDAQ,Technology,7372
NLSN,Nielsen Holdings Plc,NYSE,Business Services,7389
NMIH,"NMI Holdings, Inc. Class A",NASDAQ,Finance,6331
NNN,"National Retail Properties, Inc.",NYSE,Finance,6798
NOC,Northrop Grumman Corporation,NYSE,Industrials,3721
NOV,"National Oilwell Varco, Inc.",NYSE,Energy,3533
NOW,"ServiceNow, Inc.",NYSE,Technology,7372
NP,Neenah Inc,NYSE,Non-Energy Materials,2621
NPK,"National Presto Industries, Inc.",NYSE,Industrials,3483
NPO,"EnPro Industries, Inc.",NYSE,Industrials,3053
NRG,"NRG Energy, Inc.",NYSE,Utilities,4911
NSA,National Storage Affiliates Trust,NYSE,Finance,6798
NSC,Norfolk Southern Corporation,NYSE,Industrials,4011
NSIT,"Insight Enterprises, Inc.",NASDAQ,Technology,7379
NSP,"Insperity, Inc.",NYSE,Business Services,7363
NTAP,"NetApp, Inc.",NASDAQ,Technology,3572
NTCT,"NetScout Systems, Inc.",NASDAQ,Technology,7373
NTGR,"NETGEAR, Inc.",NASDAQ,Technology,4812
NTRS,Northern Trust Corporation,NASDAQ,Finance,6022
NTUS,Natus Medical Incorporated,NASDAQ,Healthcare,3845
NUE,Nucor Corporation,NYSE,Non-Energy Materials,3312
NUS,"Nu Skin Enterprises, Inc. Class A",NYSE,Consumer Non-Cyclicals,5122
NUVA,"NuVasive, Inc.",NASDAQ,Healthcare,3841
NVDA,NVIDIA Corporation,NASDAQ,Technology,3674
NVR,"NVR, Inc.",NYSE,Consumer Cyclicals,1521
NVT,nVent Electric plc,NYSE,Industrials,3644
NWBI,"Northwest Bancshares, Inc.",NASDAQ,Finance,6022
NWE,NorthWestern Corporation,NASDAQ,Utilities,4911
NWL,Newell Brands Inc,NASDAQ,Consumer Non-Cyclicals,3952
NWN,Northwest Natural Holding Co.,NYSE,Utilities,4924
NWSA,News Corporation Class A,NASDAQ,Consumer Services,2711
NX,Quanex Building Products Corporation,NYSE,Non-Energy Materials,3442
NXGN,"NextGen Healthcare, Inc.",NASDAQ,Healthcare,7373
NXRT,NexPoint Residential Trust Inc,NYSE,Finance,6798
NYCB,"New York Community Bancorp, Inc.",NYSE,Finance,6035
NYMT,"New York Mortgage Trust, Inc.",NASDAQ,Finance,6798
NYT,New York Times Company Class A,NYSE,Consumer Services,2711
O,Realty Income Corporation,NYSE,Finance,6798
OC,Owens Corning,NYSE,Non-Energy Materials,3229
ODFL,"Old Dominion Freight Line, Inc.",NASDAQ,Industrials,4213
ODP,ODP Corporation,NASDAQ,Consumer Cyclicals,5044
OFC,Corporate Office Properties Trust,NYSE,Finance,6798
OFG,OFG Bancorp,NYSE,Finance,6022
OFIX,"Orthofix Medical, Inc.",NASDAQ,Healthcare,3842
OGE,OGE Energy Corp.,NYSE,Utilities,4911
OGS,"ONE Gas, Inc.",NYSE,Utilities,4924
OHI,"Omega Healthcare Investors, Inc.",NYSE,Finance,6798
OI,O-I Glass Inc,NYSE,Non-Energy Materials,3221
OII,"Oceaneering International, Inc.",NYSE,Energy,1389
OIS,"Oil States International, Inc.",NYSE,Energy,3533
OKE,"ONEOK, Inc.",NYSE,Energy,4922
OLED,Universal Display Corporation,NASDAQ,Technology,3674
OLLI,Ollie's Bargain Outlet Holdings Inc,NASDAQ,Consumer Non-Cyclicals,5399
OLN,Olin Corporation,NYSE,Non-Energy Materials,2812
OMC,Omnicom Group Inc,NYSE,Business Services,7311
OMCL,"Omnicell, Inc.",NASDAQ,Healthcare,7373
OMI,"Owens & Minor, Inc.",NYSE,Healthcare,5047
ONB,Old National Bancorp,NASDAQ,Finance,6021
ONTO,"Onto Innovation, Inc.",NYSE,Technology,7372
OPI,Office Properties Income Trust,NASDAQ,Finance,6798
ORCL,Oracle Corporation,NYSE,Technology,7372
ORI,Old Republic International Corporation,NYSE,Finance,6351
ORLY,"O'Reilly Automotive, Inc.",NASDAQ,Consumer Cyclicals,5531
OSIS,"OSI Systems, Inc.",NASDAQ,Technology,3674
OSK,Oshkosh Corp,NYSE,Industrials,3531
OSPN,OneSpan Inc.,NASDAQ,Technology,7373
OSUR,"OraSure Technologies, Inc.",NASDAQ,Healthcare,3841
OTIS,Otis Worldwide Corporation,NYSE,Business Services,3534
OXM,"Oxford Industries, Inc.",NYSE,Consumer Cyclicals,2329
OXY,Occidental Petroleum Corporation,NYSE,Energy,1311
OZK,Bank OZK,NASDAQ,Finance,6022
PACW,PacWest Bancorp,NASDAQ,Finance,6021
PAHC,Phibro Animal Health Corporation Class A,NASDAQ,Healthcare,2834
PARR,Par Pacific Holdings Inc,NYSE,Energy,2911
PATK,"Patrick Industries, Inc.",NASDAQ,Consumer Cyclicals,2452
PAYC,"Paycom Software, Inc.",NYSE,Technology,7372
PAYX,"Paychex, Inc.",NASDAQ,Business Services,8721
PB,"Prosperity Bancshares, Inc.(R)",NYSE,Finance,6022
PBCT,"People's United Financial, Inc.",NASDAQ,Finance,6021
PBF,"PBF Energy, Inc. Class A",NYSE,Energy,2911
PBH,Prestige Consumer Healthcare Inc,NYSE,Healthcare,2834
PBI,Pitney Bowes Inc.,NYSE,Technology,3579
PCAR,PACCAR Inc,NASDAQ,Industrials,3711
PCH,PotlatchDeltic Corporation,NASDAQ,Finance,5031
PCRX,"Pacira Biosciences, Inc.",NASDAQ,Healthcare,2834
PCTY,Paylocity Holding Corp.,NASDAQ,Technology,7372
PDCE,"PDC Energy, Inc.",NASDAQ,Energy,1311
PDCO,"Patterson Companies, Inc.",NASDAQ,Healthcare,2048
PDFS,"PDF Solutions, Inc.",NASDAQ,Technology,7372
PEAK,"Healthpeak Properties, Inc.",NYSE,Finance,6798
PEB,Pebblebrook Hotel Trust,NYSE,Finance,6798
PEG,Public Service Enterprise Group Inc,NYSE,Utilities,4931
PEN,"Penumbra, Inc.",NYSE,Healthcare,3841
PENN,"Penn National Gaming, Inc.",NASDAQ,Consumer Services,7999
PEP,"PepsiCo, Inc.",NASDAQ,Consumer Non-Cyclicals,2086
PETS,"PetMed Express, Inc.",NASDAQ,Consumer Cyclicals,5912
PFBC,Preferred Bank,NASDAQ,Finance,6022
PFE,Pfizer Inc.,NYSE,Healthcare,2834
PFG,"Principal Financial Group, Inc.",NASDAQ,Finance,6371
PFS,"Provident Financial Services, Inc.",NYSE,Finance,6035
PG,Procter & Gamble Company,NYSE,Consumer Non-Cyclicals,2841
PGR,Progressive Corporation,NYSE,Finance,6331
PGTI,"PGT Innovations, Inc.",NYSE,Non-Energy Materials,3442
PH,Parker-Hannifin Corporation,NYSE,Industrials,3499
PHM,"PulteGroup, Inc.",NYSE,Consumer Cyclicals,1531
PII,Polaris Inc.,NYSE,Consumer Cyclicals,3799
PIPR,Piper Sandler Companies,NYSE,Finance,6211
PK,"Park Hotels & Resorts, Inc.",NYSE,Finance,7011
PKE,Park Aerospace Corp.,NYSE,Non-Energy Materials,3728
PKG,Packaging Corporation of America,NYSE,Non-Energy Materials,2653
PKI,"PerkinElmer, Inc.",NYSE,Healthcare,3826
PLAB,"Photronics, Inc.",NASDAQ,Technology,3674
PLAY,"Dave & Buster's Entertainment, Inc.",NASDAQ,Consumer Services,5812
PLCE,"Children's Place, Inc.",NASDAQ,Consumer Cyclicals,5641
PLD,"Prologis, Inc.",NYSE,Finance,6798
PLMR,"Palomar Holdings, Inc.",NASDAQ,Finance,6331
PLT,"Plantronics, Inc.",NYSE,Technology,3661
PLUS,ePlus inc.,NASDAQ,Technology,7373
PLXS,Plexus Corp.,NASDAQ,Technology,3679
PM,Philip Morris International Inc.,NYSE,Consumer Non-Cyclicals,2111
PMT,PennyMac Mortgage Investment Trust,NYSE,Finance,6798
PNC,"PNC Financial Services Group, Inc.",NYSE,Finance,6021
PNFP,"Pinnacle Financial Partners, Inc.",NASDAQ,Finance,6022
PNM,"PNM Resources, Inc.",NYSE,Utilities,4911
PNR,Pentair plc,NYSE,Industrials,3589
PNTG,Pennant Group Inc,NASDAQ,Healthcare,8082
PNW,Pinnacle West Capital Corporation,NYSE,Utilities,4911
POOL,Pool Corporation,NASDAQ,Industrials,5091
POST,"Post Holdings, Inc.",NYSE,Consumer Non-Cyclicals,2043
POWI,"Power Integrations, Inc.",NASDAQ,Technology,3674
POWL,"Powell Industries, Inc.",NASDAQ,Industrials,3823
PPBI,"Pacific Premier Bancorp, Inc.",NASDAQ,Finance,6022
PPC,Pilgrim's Pride Corporation,NASDAQ,Consumer Non-Cyclicals,2015
PPG,"PPG Industries, Inc.",NYSE,Non-Energy Materials,2851
PPL,PPL Corporation,NYSE,Utilities,4911
PRA,ProAssurance Corporation,NYSE,Finance,6399
PRAA,PRA Group Inc,NASDAQ,Finance,7322
PRAH,"PRA Health Sciences, Inc.",NASDAQ,Healthcare,8731
PRDO,Perdoceo Education Corporation,NASDAQ,Consumer Non-Cyclicals,8221
PRFT,"Perficient, Inc.",NASDAQ,Technology,7371
PRGO,Perrigo Co. Plc,NYSE,Healthcare,2834
PRGS,Progress Software Corporation,NASDAQ,Technology,7371
PRI,"Primerica, Inc.",NYSE,Finance,6311
PRK,Park National Corporation,NYSE AMERICAN,Finance,6021
PRLB,"Proto Labs, Inc.",NYSE,Industrials,3544
PRSC,Providence Service Corporation,NASDAQ,Healthcare,8322
PRSP,"Perspecta, Inc.",NYSE,Business Services,7371
PRU,"Prudential Financial, Inc.",NYSE,Finance,6311
PSA,Public Storage,NYSE,Finance,6798
PSB,"PS Business Parks, Inc.",NYSE,Finance,6798
PSMT,"PriceSmart, Inc.",NASDAQ,Consumer Non-Cyclicals,5331
PSX,Phillips 66,NYSE,Energy,2911
PTC,PTC Inc.,NASDAQ,Technology,7372
PTEN,"Patterson-UTI Energy, Inc.",NASDAQ,Energy,1381
PUMP,ProPetro Holding Corp.,NYSE,Energy,1389
PVAC,Penn Virginia Corporation,NASDAQ,Energy,1311
PVH,PVH Corp.,NYSE,Consumer Cyclicals,2329
PWR,"Quanta Services, Inc.",NYSE,Industrials,1731
PXD,Pioneer Natural Resources Company,NYSE,Energy,1311
PYPL,PayPal Holdings Inc,NASDAQ,Finance,7389
