Symbol,Name,Stock Exchange,RBICS Economy,SIC Code
CUB,Cubic Corporation,NYSE,Industrials,3829
CUBI,"Customers Bancorp, Inc.",NYSE,Finance,6022
CUTR,"Cutera, Inc.",NASDAQ,Healthcare,3845
CUZ,Cousins Properties Incorporated,NYSE,Finance,6798
CVBF,CVB Financial Corp.,NASDAQ,Finance,6029
CVCO,"Cavco Industries, Inc.",NASDAQ,Consumer Cyclicals,2451
CVET,"Covetrus, Inc.",NASDAQ,Healthcare,742
CVGW,"Calavo Growers, Inc.",NASDAQ,Consumer Non-Cyclicals,5148
CVLT,"CommVault Systems, Inc.",NASDAQ,Technology,7372
CVS,CVS Health Corporation,NYSE,Healthcare,5912
CVX,Chevron Corporation,NYSE,Energy,2911
CW,Curtiss-Wright Corporation,NYSE,Industrials,3724
CWT,California Water Service Group,NYSE,Utilities,4941
CXO,Concho Resources Inc.,NYSE,Energy,1311
CXW,"CoreCivic, Inc.",NYSE,Finance,8744
CYH,"Community Health Systems, Inc.",NYSE,Healthcare,8062
CYTK,"Cytokinetics, Incorporated",NASDAQ,Healthcare,2834
CZR,Caesars Entertainment Inc,NASDAQ,Consumer Services,7011
D,Dominion Energy Inc,NYSE,Utilities,4911
DAKT,"Daktronics, Inc.",NASDAQ,Technology,3669
DAL,"Delta Air Lines, Inc.",NYSE,Industrials,4512
DAN,Dana Incorporated,NYSE,Consumer Cyclicals,3714
DAR,Darling Ingredients Inc.,NYSE,Consumer Non-Cyclicals,2077
DBD,Diebold Nixdorf Incorporated,NYSE,Technology,3578
DBI,Designer Brands Inc. Class A,NYSE,Consumer Cyclicals,5661
DCI,"Donaldson Company, Inc.",NYSE,Industrials,3564
DCOM,"Dime Community Bancshares, Inc.",NASDAQ,Finance,6035
DD,"DuPont de Nemours, Inc.",NYSE,Non-Energy Materials,2836
DDD,3D Systems Corporation,NYSE,Industrials,2759
DE,Deere & Company,NYSE,Industrials,3523
DEA,"Easterly Government Properties, Inc.",NYSE,Finance,6798
DECK,Deckers Outdoor Corporation,NYSE,Consumer Cyclicals,5139
DEI,"Douglas Emmett, Inc",NYSE,Finance,6798
DFIN,"Donnelley Financial Solutions, Inc.",NYSE,Technology,7389
DFS,Discover Financial Services,NYSE,Finance,6141
DG,Dollar General Corporation,NYSE,Consumer Non-Cyclicals,5331
DGII,Digi International Inc.,NASDAQ,Technology,3661
DGX,Quest Diagnostics Incorporated,NYSE,Healthcare,8071
DHC,Diversified Healthcare Trust,NASDAQ,Finance,8361
DHI,"D.R. Horton, Inc.",NYSE,Consumer Cyclicals,1531
DHR,Danaher Corporation,NYSE,Healthcare,3826
DIN,"Dine Brands Global, Inc.",NYSE,Consumer Services,5812
DIOD,Diodes Incorporated,NASDAQ,Technology,3674
DIS,Walt Disney Company,NYSE,Consumer Services,4841
DISCA,"Discovery, Inc. Class A",NASDAQ,Consumer Services,4841
DISH,DISH Network Corporation Class A,NASDAQ,Telecommunications,4841
DKS,"Dick's Sporting Goods, Inc.",NYSE,Consumer Cyclicals,5941
DLR,"Digital Realty Trust, Inc.",NYSE,Finance,6798
DLTR,"Dollar Tree, Inc.",NASDAQ,Consumer Non-Cyclicals,5331
DLX,Deluxe Corporation,NYSE,Business Services,2782
DNKN,"Dunkin' Brands Group, Inc.",NASDAQ,Consumer Services,5812
DNOW,NOW Inc.,NYSE,Industrials,5084
DOC,Physicians Realty Trust,NYSE,Finance,6798
DORM,"Dorman Products, Inc.",NASDAQ,Consumer Cyclicals,5013
DOV,Dover Corporation,NYSE,Industrials,5084
DOW,"Dow, Inc.",NYSE,Non-Energy Materials,2821
DPZ,"Domino's Pizza, Inc.",NYSE,Consumer Services,5812
DRE,Duke Realty Corporation,NYSE,Finance,6512
DRH,DiamondRock Hospitality Company,NYSE,Finance,6798
DRI,"Darden Restaurants, Inc.",NYSE,Consumer Services,5812
DRQ,"Dril-Quip, Inc.",NYSE,Energy,3533
DSPG,"DSP Group, Inc.",NASDAQ,Technology,3674
DTE,DTE Energy Company,NYSE,Utilities,4911
DUK,Duke Energy Corporation,NYSE,Utilities,4931
DVA,DaVita Inc.,NYSE,Healthcare,8092
DVN,Devon Energy Corporation,NYSE,Energy,1311
DXC,DXC Technology Co.,NYSE,Technology,7374
DXCM,"DexCom, Inc.",NASDAQ,Healthcare,3841
DXPE,"DXP Enterprises, Inc.",NASDAQ,Industrials,5084
DY,"Dycom Industries, Inc.",NYSE,Industrials,1623
EA,Electronic Arts Inc.,NASDAQ,Technology,7372
EAT,"Brinker International, Inc.",NYSE,Consumer Services,5812
EBAY,eBay Inc.,NASDAQ,Consumer Non-Cyclicals,5961
EBIX,"Ebix, Inc.",NASDAQ,Finance,7371
EBS,Emergent BioSolutions Inc.,NYSE,Healthcare,8731
ECHO,"Echo Global Logistics, Inc",NASDAQ,Industrials,4731
ECL,Ecolab Inc.,NYSE,Non-Energy Materials,2819
ECOL,"US Ecology, Inc.",NASDAQ,Business Services,4953
ECPG,"Encore Capital Group, Inc.",NASDAQ,Finance,6153
ED,"Consolidated Edison, Inc.",NYSE,Utilities,4931
EFX,Equifax Inc.,NYSE,Business Services,7323
EGBN,"Eagle Bancorp, Inc.",NASDAQ,Finance,6022
EGHT,"8x8, Inc.",NYSE,Technology,7372
EGOV,NIC Inc.,NASDAQ,Business Services,7389
EGP,"EastGroup Properties, Inc.",NYSE,Finance,6798
EGRX,"Eagle Pharmaceuticals, Inc.",NASDAQ,Healthcare,2834
EHC,Encompass Health Corporation,NYSE,Healthcare,8062
EHTH,"eHealth, Inc.",NASDAQ,Finance,6321
EIG,"Employers Holdings, Inc.",NYSE,Finance,6331
EIX,Edison International,NYSE,Utilities,4911
EL,Estee Lauder Companies Inc. Class A,NYSE,Consumer Non-Cyclicals,2844
ELY,Callaway Golf Company,NYSE,Consumer Cyclicals,3949
EME,"EMCOR Group, Inc.",NYSE,Industrials,1731
EMN,Eastman Chemical Company,NYSE,Non-Energy Materials,2821
EMR,Emerson Electric Co.,NYSE,Industrials,3823
ENDP,Endo International Plc,NASDAQ,Healthcare,2834
ENPH,"Enphase Energy, Inc.",NASDAQ,Industrials,3674
ENR,Energizer Holdings Inc,NYSE,Consumer Non-Cyclicals,3691
ENS,EnerSys,NYSE,Industrials,3691
ENSG,"Ensign Group, Inc.",NASDAQ,Healthcare,8051
ENTA,"Enanta Pharmaceuticals, Inc.",NASDAQ,Healthcare,2834
ENVA,Enova International Inc,NYSE,Finance,6141
EOG,"EOG Resources, Inc.",NYSE,Energy,1311
EPAC,Enerpac Tool Group Corp Class A,NYSE,Industrials,3593
EPAY,"Bottomline Technologies (de), Inc.",NASDAQ,Technology,7372
EPC,Edgewell Personal Care Co.,NYSE,Consumer Non-Cyclicals,2844
EPR,EPR Properties,NYSE,Finance,6798
EPRT,"Essential Properties Realty Trust, Inc.",NYSE,Finance,6798
EQIX,"Equinix, Inc.",NASDAQ,Finance,7374
EQR,Equity Residential,NYSE,Finance,6798
EQT,EQT Corporation,NYSE,Energy,1311
ES,Eversource Energy,NYSE,Utilities,4911
ESE,ESCO Technologies Inc.,NYSE,Industrials,3823
ESNT,Essent Group Ltd.,NYSE,Finance,6351
ESS,"Essex Property Trust, Inc.",NYSE,Finance,6798
ETH,Ethan Allen Interiors Inc.,NYSE,Consumer Cyclicals,5712
ETN,Eaton Corp. Plc,NYSE,Industrials,5063
ETR,Entergy Corporation,NYSE,Utilities,4911
ETRN,Equitrans Midstream Corp.,NYSE,Energy,1321
ETSY,"Etsy, Inc.",NASDAQ,Consumer Non-Cyclicals,5961
EV,Eaton Vance Corp.,NYSE,Finance,6282
EVR,Evercore Inc Class A,NYSE,Finance,6282
EVRG,"Evergy, Inc.",NYSE,Utilities,4911
EVTC,"EVERTEC, Inc.",NYSE,Finance,7374
EW,Edwards Lifesciences Corporation,NYSE,Healthcare,3842
EWBC,"East West Bancorp, Inc.",NASDAQ,Finance,6021
EXC,Exelon Corporation,NASDAQ,Utilities,4931
EXEL,"Exelixis, Inc.",NASDAQ,Healthcare,8731
EXLS,"ExlService Holdings, Inc.",NASDAQ,Business Services,8748
EXP,Eagle Materials Inc.,NYSE,Non-Energy Materials,3241
EXPD,"Expeditors International of Washington, Inc.",NASDAQ,Industrials,4731
EXPE,"Expedia Group, Inc.",NASDAQ,Consumer Services,4724
EXPO,"Exponent, Inc.",NASDAQ,Business Services,8748
EXR,Extra Space Storage Inc.,NYSE,Finance,6798
EXTN,Exterran Corp.,NYSE,Energy,3533
EXTR,"Extreme Networks, Inc.",NASDAQ,Technology,3577
EZPW,"EZCORP, Inc. Class A",NASDAQ,Finance,5932
F,Ford Motor Company,NYSE,Consumer Cyclicals,3711
FAF,First American Financial Corporation,NYSE,Finance,6361
FANG,"Diamondback Energy, Inc.",NASDAQ,Energy,1311
FARO,"FARO Technologies, Inc.",NASDAQ,Industrials,3823
FAST,Fastenal Company,NASDAQ,Industrials,5072
FB,"Facebook, Inc. Class A",NASDAQ,Technology,2741
FBC,"Flagstar Bancorp, Inc.",NYSE,Finance,6035
FBHS,"Fortune Brands Home & Security, Inc.",NYSE,Consumer Non-Cyclicals,2434
FBK,FB Financial Corporation,NYSE,Finance,6021
FBM,"Foundation Building Materials, Inc.",NYSE,Industrials,5039
FBNC,First Bancorp,NASDAQ,Finance,6022
FBP,First Bancorp,NYSE,Finance,6022
FCF,First Commonwealth Financial Corporation,NYSE,Finance,6022
FCFS,"FirstCash, Inc.",NASDAQ,Finance,5932
FCN,"FTI Consulting, Inc.",NYSE,Business Services,8742
FCPT,"Four Corners Property Trust, Inc.",NYSE,Finance,6798
FCX,"Freeport-McMoRan, Inc.",NYSE,Non-Energy Materials,3331
FDP,Fresh Del Monte Produce Inc.,NYSE,Consumer Non-Cyclicals,5148
FDS,FactSet Research Systems Inc.,NYSE,Technology,7374
FDX,FedEx Corporation,NYSE,Industrials,4513
FE,FirstEnergy Corp.,NYSE,Utilities,4911
FELE,"Franklin Electric Co., Inc.",NASDAQ,Industrials,3621
FF,FutureFuel Corp.,NYSE,Non-Energy Materials,2869
FFBC,First Financial Bancorp.,NASDAQ,Finance,6021
FFIN,First Financial Bankshares Inc,NASDAQ,Finance,6021
FFIV,"F5 Networks, Inc.",NASDAQ,Technology,7372
FHB,"First Hawaiian, Inc.",NASDAQ,Finance,6022
FHI,"Federated Hermes, Inc. Class B",NYSE,Finance,6282
