Month,Ticker,Company_name,Stock_exchange,Industry,SIC_Code,ESG_Rating,ESG_Score
9,YELP,Yelp Inc,NYSE,Technology,7375,C,39.44255369
9,YETI,Yeti Holdings Inc,NYSE,Consumer Cyclicals,3949,D+,24.94102905
9,YUM,Yum! Brands Inc,NYSE,Consumer Cyclicals,5812,B+,70.87682967
9,ZBH,Zimmer Biomet Holdings Inc,NYSE,Healthcare,3841,B,64.89898273
9,ZBRA,Zebra Technologies Corp,NASDAQ,Technology,3571,C-,30.07185317
9,ZEUS,Olympic Steel Inc,NASDAQ,Basic Materials,3316,C-,29.6980244
9,ZION,Zions Bancorporation NA,NASDAQ,Financials,6021,C+,46.00932301
9,ZTS,Zoetis Inc,NYSE,Healthcare,2834,B-,55.37276839
9,ZUMZ,Zumiez Inc,NASDAQ,Consumer Cyclicals,5611,C-,30.36135127
9,ZYXI,Zynex Inc,NASDAQ,Healthcare,3845,D+,24.95131559
10,A,Agilent Technologies Inc,NYSE,Healthcare,3826,A,86.80727331
10,AAL,American Airlines Group Inc,NASDAQ,Industrials,4512,B+,66.73493441
10,AAOI,Applied Optoelectronics Inc,NASDAQ,Technology,3357,C-,25.38183441
10,AAON,Aaon Inc,NASDAQ,Industrials,3585,D+,22.00772005
10,AAP,Advance Auto Parts Inc,NYSE,Consumer Cyclicals,5531,C+,44.13425365
10,AAPL,Apple Inc,NASDAQ,Technology,3663,B+,70.53872491
10,AAT,American Assets Trust Inc,NYSE,Real Estate,6798,B-,52.60725796
10,AAWW,Atlas Air Worldwide Holdings Inc,NASDAQ,Industrials,4512,D+,22.01789269
10,AAXN,Axon Enterprise Inc,NASDAQ,Industrials,3489,D+,19.67682473
10,ABBV,Abbvie Inc,NYSE,Healthcare,2834,B+,74.87134805
10,ABC,Amerisourcebergen Corp,NYSE,Healthcare,5122,B,61.81974701
10,ABCB,Ameris Bancorp,NASDAQ,Financials,6022,C-,32.88673356
10,ABG,Asbury Automotive Group Inc,NYSE,Consumer Cyclicals,5511,C,37.81005471
10,ABM,ABM Industries Inc,NYSE,Industrials,7349,B+,67.96579273
10,ABMD,ABIOMED Inc,NASDAQ,Healthcare,3841,D+,22.65702278
10,ABT,Abbott Laboratories,NYSE,Healthcare,3841,A-,82.95304207
10,ABTX,Allegiance Bancshares Inc,NASDAQ,Financials,6022,C-,27.66774704
10,ACA,Arcosa Inc,NYSE,Industrials,4939,C-,31.94290917
10,ACC,American Campus Communities Inc,NYSE,Real Estate,6798,C,35.13953445
10,ACHC,Acadia Healthcare Company Inc,NASDAQ,Healthcare,8059,B-,52.4705831
10,ACIW,ACI Worldwide Inc,NASDAQ,Technology,7372,B-,53.75127469
10,ACLS,Axcelis Technologies Inc,NASDAQ,Technology,3559,C+,48.83812
10,ACM,AECOM,NYSE,Industrials,8711,C+,48.11016695
10,ACN,Accenture PLC,NYSE,Technology,7379,B+,74.02801057
10,ADBE,Adobe Inc,NASDAQ,Technology,7372,B+,68.18796934
10,ADC,Agree Realty Corp,NYSE,Real Estate,6512,C+,45.31441068
10,ADI,Analog Devices Inc,NASDAQ,Technology,3674,A-,76.98432821
10,ADM,Archer-Daniels-Midland Co,NYSE,Consumer Non-Cyclicals,2075,A-,81.47042168
10,ADNT,Adient PLC,NYSE,Consumer Cyclicals,2399,C,35.39394864
10,ADP,Automatic Data Processing Inc,NASDAQ,Technology,7374,B,74.64170564
10,ADS,Alliance Data Systems Corp,NYSE,Industrials,7374,B+,69.49056468
10,ADSK,Autodesk Inc,NASDAQ,Technology,7372,A-,76.79918057
10,ADTN,ADTRAN Inc,NASDAQ,Technology,3661,B-,52.76361283
10,ADUS,Addus Homecare Corp,NASDAQ,Healthcare,8082,D+,18.4327751
10,AEE,Ameren Corp,NYSE,Utilities,4911,C+,45.9171691
10,AEGN,Aegion Corp,NASDAQ,Industrials,1623,D+,20.88687229
10,AEIS,Advanced Energy Industries Inc,NASDAQ,Technology,3629,C+,45.75207427
10,AEL,American Equity Investment Life Holding Co,NYSE,Financials,6311,C+,45.85814713
10,AEO,American Eagle Outfitters Inc,NYSE,Consumer Cyclicals,5651,B,61.38758749
10,AEP,American Electric Power Company Inc,NASDAQ,Utilities,4911,B,59.67020755
10,AES,AES Corp,NYSE,Utilities,4911,B+,66.70589387
10,AFG,American Financial Group Inc,NYSE,Financials,6331,C-,30.79614451
10,AFL,Aflac Inc,NYSE,Financials,6311,B,58.37964014
10,AGCO,AGCO Corp,NYSE,Industrials,3523,C+,49.21454246
10,AGO,Assured Guaranty Ltd,NYSE,Financials,6351,B,64.0151172
10,AGYS,Agilysys Inc,NASDAQ,Technology,7373,C-,32.36270493
10,AHH,Armada Hoffler Properties Inc,NYSE,Real Estate,6798,B-,50.90485752
10,AIG,American International Group Inc,NYSE,Financials,6399,B,62.92139206
10,AIN,Albany International Corp,NYSE,Industrials,2397,C,34.07831468
10,AIR,AAR Corp,NYSE,Industrials,3724,D+,29.6975134
10,AIT,Applied Industrial Technologies Inc,NYSE,Industrials,5085,C-,29.83032644
10,AIV,Apartment Investment and Management Co,NYSE,Real Estate,6798,C+,49.87924811
10,AIZ,Assurant Inc,NYSE,Financials,6399,B,62.57152184
10,AJG,Arthur J Gallagher & Co,NYSE,Financials,6411,B-,58.15573876
10,AJRD,Aerojet Rocketdyne Holdings Inc,NYSE,Industrials,3812,D+,20.18385128
10,AKAM,Akamai Technologies Inc,NASDAQ,Technology,7372,C+,44.7894258
10,AKR,Acadia Realty Trust,NYSE,Real Estate,6798,B+,67.51011253
10,ALB,Albemarle Corp,NYSE,Basic Materials,2819,B,66.27854218
10,ALE,ALLETE Inc,NYSE,Utilities,4931,C,39.75153215
10,ALEX,Alexander & Baldwin Inc (Hawaii),NYSE,Real Estate,6798,B-,52.77879863
10,ALG,Alamo Group Inc,NYSE,Industrials,3523,D+,24.42906515
10,ALGN,Align Technology Inc,NASDAQ,Healthcare,3843,C,34.77745323
10,ALGT,Allegiant Travel Co,NASDAQ,Industrials,4512,D,16.00256403
10,ALK,Alaska Air Group Inc,NYSE,Industrials,4512,B-,54.30595217
10,ALL,Allstate Corp,NYSE,Financials,6331,A-,77.07880687
10,ALLE,Allegion PLC,NYSE,Technology,7382,B-,57.57074297
10,ALRM,Alarm.com Holdings Inc,NASDAQ,Technology,7372,C,37.02201776
